dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_trade_requested_weapons:merchant_trade|Ah, sim {senhor/madame}. Essas armas são o melhor que você vai encontrar por aqui.
dlga_trade_requested_armor:merchant_trade|É claro, {senhor/madame}. Você não vai encontrar armaduras de melhor qualidade em toda Calradia.
dlga_trade_requested_horse:merchant_trade|Você tem um bom olho para cavalos, {senhor/madame}. Não irá encontrar animais melhores em outro lugar.
dlga_merchant_trade:town_merchant_talk|Mais alguma coisa?
dlga_town_merchant_talk:merchant_gossip|Diga-me. Sobre o que as pessoas têm falado ultimamente?
dlga_merchant_gossip:town_merchant_talk|Bem, nada novo. Preços, sobre o tempo, sobre a guerra, esse tipo de coisa.
dlga_town_merchant_talk:close_window|Adeus;
dlga_start:town_dweller_talk|{Meu senhor/Minha senhora}?
dlga_start:town_dweller_talk.1|Bom dia, {senhor/madame}.
dlga_town_dweller_talk:town_dweller_ask_fugitive|Eu procuro por um homem com o nome de {s4}. Me foi dito que ele se esconde por aqui.
dlga_town_dweller_ask_fugitive:close_window|Estranhos vêm e vão nessa vila, {senhor/madame}. Se ele se esconde aqui, tenho certeza que poderá encontrá-lo se der uma olhada nos arredores.
dlga_town_dweller_talk:town_dweller_quest_meet_spy_in_enemy_town_ask_item|Perdoe me, mas isso é uma {s5} que está vestindo?
dlga_town_dweller_quest_meet_spy_in_enemy_town_ask_item:town_dweller_talk|{s6}
dlga_town_dweller_talk:town_dweller_quest_meet_spy_in_enemy_town|{s4}
dlga_town_dweller_quest_meet_spy_in_enemy_town:town_dweller_quest_meet_spy_in_enemy_town_know|{s4}
dlga_town_dweller_quest_meet_spy_in_enemy_town:town_dweller_quest_meet_spy_in_enemy_town_dont_know|Pff... Que tipo de baboseira é essa?
dlga_town_dweller_quest_meet_spy_in_enemy_town_dont_know:close_window|Deixe para lá.
dlga_town_dweller_quest_meet_spy_in_enemy_town_know:town_dweller_quest_meet_spy_in_enemy_town_chat|{s4} me enviou para coletar seus relatórios. Você está com eles?
dlga_town_dweller_quest_meet_spy_in_enemy_town_chat:town_dweller_quest_meet_spy_in_enemy_town_chat_2|Estava esperando por você. Aqui estão eles, certifique-se que eles cheguem a {s4} intactos e sem demoras.
dlga_town_dweller_quest_meet_spy_in_enemy_town_chat_2:close_window|Adeus.
dlga_town_dweller_talk:town_dweller_ask_info|O que pode me dizer sobre essa vila?
dlga_town_dweller_talk:town_dweller_ask_info.1|O que você pode me dizer sobre esta cidade?
dlga_town_dweller_ask_info:close_window|{s10} {s11}
dlga_town_dweller_talk:town_dweller_ask_situation|Como é a vida por aqui?
dlga_town_dweller_ask_situation:town_dweller_poor|O desastre abateu minha família, {senhor/madame}. Não possuímos terras próprias, e os outros não tem dinheiro para pagar por nosso trabalho, ou até mesmo para nos ajudar. Minhas pobres crianças estão em casa, com fome e doentes, não sei o que devemos fazer.
dlga_town_dweller_ask_situation:town_dweller_poor.1|Minha vida é miserável, {senhor/madame}. Não fui capaz de encontrar um trabalho novo já faz meses, e minhas pobres crianças vão dormir com fome toda noite. Meus vizinhos também são pobres demais para me ajudar.
dlga_town_dweller_poor:town_dweller_poor_paid|Então tome estes 300 dinares. Espero que isso ajude você e sua família.
dlga_town_dweller_poor:town_dweller_poor_not_paid|Então claramente você tem que se mudar para algum lugar, ou aprender um novo ofício.
dlga_town_dweller_poor_not_paid:close_window|Sim {senhor/madame}. Farei o que me disse.
dlga_town_dweller_poor_paid:close_window|{Meu bom senhor/Minha gentil senhora}. Você é tão {bom/boa} e generos{o/a}. Vou contar para todo mundo que nos ajudou.
dlga_town_dweller_ask_situation:close_window|Obrigado por sua gentileza {senhor/madame}. Com sua ajuda nossas vidas vão melhorar. Rezarei por você todos os dias.
dlga_town_dweller_ask_situation:town_dweller_talk|São tempos difíceis, {senhor/madame}. Trabalhamos duro todos os dias e vamos dormir com fome todas as noites.
dlga_town_dweller_ask_situation:town_dweller_talk.1|São tempos difíceis, {senhor/madame}. Mas estamos contando com nossas preces.
dlga_town_dweller_ask_situation:town_dweller_talk.2|Não estamos indo tão mau {senhor/madame}. Somos muito abençoados.
dlga_town_dweller_talk:town_dweller_ask_trade|O que você faz?
dlga_town_dweller_ask_trade:town_dweller_talk|{s14}
dlga_town_dweller_talk:town_dweller_ask_rumor|Qual é o último boato por aqui?
dlga_town_dweller_ask_rumor:town_dweller_talk|Não sei de nada que possa ser do seu interesse.
dlga_town_dweller_ask_rumor:town_dweller_talk.1|{s61}
dlga_town_dweller_ask_rumor:town_dweller_talk.2|Não ouvi nada que seja interessante ultimamente.
dlga_town_dweller_talk:close_window|[Sair]
dlga_start:player_castle_guard_talk|Sim {senhor/madame}?
dlga_player_castle_guard_talk:player_castle_guard_talk_2|Como vai a ronda, soldado?
dlga_player_castle_guard_talk_2:player_castle_guard_talk_3|Tudo quieto {senhor/madame}. Nada a relatar.
dlga_player_castle_guard_talk_3:close_window|Bom. Mantenha seus olhos abertos.
dlga_start:close_window.41|Bom dia, {senhor/madame}. É sempre uma honra recebê-l{o/a} em {s10}.
dlga_start:close_window.42|Comporte-se dentro desses muros e não teremos problemas.
dlga_start:hall_guard_talk|Suas ordens, {meu senhor/minha senhora}?
dlga_start:close_window.43|Não devemos conversar durante nosso turno, {senhor/madame}.
dlga_hall_guard_talk:hall_guard_duty|Fique de guarda e me diga se alguém quiser me ver.
dlga_hall_guard_duty:close_window|Sim, {meu senhor/minha senhora}. Como quiser.
dlga_hall_guard_talk:hall_guard_arrest|Eu quero que prenda esse homem imediatamente!
dlga_hall_guard_arrest:hall_guard_arrest_2|Quem você quer que seja preso {senhor/madame}?
dlga_hall_guard_arrest_2:close_window|Ah, eu me excedi, rapazes.
dlga_hall_guard_arrest_2:close_window.1|Esqueça. Eu vou achar outro modo para lidar com isso.
dlga_enemy_defeated:close_window|Arghh! Eu odeio isso.
dlga_party_relieved:close_window|Obrigado por nos ajudar contra aqueles bastardos.
dlga_start:battle_reason_stated|Vou beber do seu crânio!
dlga_member_chat:regular_member_talk|Suas ordens, {senhor/madame}?
dlga_regular_member_talk:view_regular_char_requested|Fale-me sobre você
dlga_view_regular_char_requested:do_regular_member_view_char|Certo {senhor/madame}. Vou lhe contar tudo sobre mim.
dlga_do_regular_member_view_char:regular_member_talk|Mais alguma coisa?
dlga_regular_member_talk:close_window|Nada. Continue.
dlga_start:party_encounter_hostile_attacker|Você não tem chance contra nós. Renda-se ou iremos matar todos vocês.
dlga_party_encounter_hostile_attacker:close_window|Nós vamos lutar até o fim!
dlga_party_encounter_hostile_attacker:close_window.1|Não ataque! Nós nos rendemos.
dlga_start:party_encounter_hostile_defender|O que você quer?
dlga_party_encounter_hostile_defender:party_encounter_hostile_ultimatum_surrender|Renda-se ou morra!
dlga_party_encounter_hostile_ultimatum_surrender:close_window|{s43}
dlga_party_encounter_hostile_defender:close_window|Nada. Nós deixaremos você em paz.
dlga_merchant_end:close_window|Heh! Eu devo estar em uma situação bem difícil para colocar minhas esperanças em um estranho passageiro. Contudo, algo em você me diz que minha confiança não errou. Agora, vá ver se você consegue juntar alguns voluntários.
dlga_start:merchant_quest_4e|{s3}{s2}
dlga_merchant_quest_4e:merchant_finale|{s1}
dlga_merchant_quest_4e:merchant_finale.1|Deus sozinho nos deu a vitória.
dlga_merchant_quest_4e:merchant_finale.2|Estou feliz em ver que também está vivo.
dlga_merchant_finale:close_window|Sim, sim... Agora, alguns de meus rapazes prenderam o capitão em uma sala ali atrás, com uma faca apontada para a garganta dele. Eu terei que levá-lo diante de {s5} e explicar a que se deve essa brecha na paz. Você não precisa fazer parte disso. Digo mais -- se tudo correr bem, eu encontrarei com você na taverna mais tarde, e lhe direi como tudo ocorreu. Se você não me ver na taverna, mas ao invés disso ver minha cabeça cravada em uma lança em cima do portão da cidade, vai saber que deve ficar fora da cidade por um tempo e que deve esquecer que esse episódio ocorreu. Então -- espero ver você em breve!
dlga_start:merchant_quest_1_prologue_1|{s1}
dlga_merchant_quest_1_prologue_1:merchant_quest_1_prologue_2|Sempre houve bandidos nas colinas, levados ao mau caminho por causa da guerra, débitos, ou amor pela violência. Recentemente, no entanto, eles parecem ter ficados mais corajosos -- saindo de seus acampamentos e se aventurando por conta própria, em busca de vítimas incautas. O comandante da patrulha nos diz que é por causa das batalhas nas fronteiras -- poucos homens para vigiar as ruas -- mas não tenho certeza disso. Para mim parece que esses bandidos têm algum aliado dentro da cidade, que os ajuda a entrar despercebido e a identificar possíveis alvos... Semana passada, para você ver... eles levaram meu irmão.
dlga_merchant_quest_1_prologue_2:merchant_quest_1_prologue_3|Não sei o que meu irmão estava pensando -- um rapaz de uma família importante, fora de casa, sozinho, depois de escurecer, em tempos como esses... Bem, eu suponho que você também esteve, mas você é um estranho aqui, e não sabia que a situação andava ruim. Ele não tem desculpa. Mas ele é da família, que posso fazer? Se não proteger aqueles da sua laia, então as pessoas vão achar que você não consegue proteger seus investimentos também, e não posso fazer com que isso aconteça... Sem dúvida a gangue vai mandar um pedido de resgate logo, mas não pretendo pagar.
dlga_merchant_quest_1_prologue_3:merchant_quest_1a|Então eis minha proposta: Você parece ser alguém experiente com uma lâmina -- e mais importante, você parece ter fogo no estômago, ou não teria vindo para Calradia em busca de fortunas. Então eis o que peço: reúna um pequeno grupo, localize o covil desses bandidos, ensine-os uma lição que não esquecerão tão cedo, e traga meu irmão de volta em segurança. Em troca, receberá minha eterna gratidão e um pouco de prata. O que me diz?
dlga_merchant_quest_1a:merchant_quest_1b|Estou interessad{o/a}
dlga_merchant_quest_1a:close_window|Não estou interessad{o/a}, tenho negócios mais importantes a tratar.
dlga_merchant_quest_1b:merchant_quest_1c|Você não será capaz de realizar isso sozinh{o/a}. Se você tentar derrotar a gangue inteira com uma só mão, o caçador se tornará a caça, eu posso garantir. Primeiro vai precisar reunir um grupo de voluntários. Sempre há alguns rapazes que estão fartos de preparar o solo e carregar água nas vilas dos arredores. Eles seguirão você se os pagar. Portanto... pegue essa bolsa com 100 dinares. Considere isso um adiantamento da sua recompensa. Dê uma olhada nas vilas, e use o dinheiro para contratar alguma ajuda. Acho que vai precisar de pelo menos cinco homens para derrotar esses bandidos.
dlga_merchant_quest_1c:merchant_quest_1d|Muito bom, senhor. Eu irei juntar alguns homens das vilas aqui perto.
dlga_merchant_quest_1d:close_window|Bom. Poderá me encontrar novamente aqui na taverna de {s1} depois que montar seu bando. Então falarei o que tem que fazer a seguir.
dlga_start:battle_reason_stated.1|Renda-se ou morra. Faça sua escolha.
dlga_battle_reason_stated:close_window|Não tenho medo de você. Eu vou lutar.
dlga_start:free|Olá. O que posso fazer por você?
dlga_free:view_char_requested|Fale-me sobre você
dlga_view_char_requested:view_char|Muito bem, escute isso...
dlga_view_char:free|Mais alguma coisa?
dlga_end:close_window|[Feito]
dlga_start:threaten_1|Largue suas armas e renda-se se quiser viver
dlga_threaten_1:end|Vamos lutar antes.
dlga_member_direct_campaign:member_direct_campaign_choice|Sim, {meu senhor/minha senhora}. Que mensagem deseja enviar aos vassalos?
dlga_member_direct_campaign_choice:member_direct_campaign_call_to_arms_verify|Eu quero começar uma nova campanha. Vamos reunir o exército aqui.
dlga_member_direct_campaign_choice:member_give_order_disband_army_verify|Eu quero terminar a campanha e permitir que todos retornem aos seus lares.
dlga_member_direct_campaign_choice:member_give_order_invite_feast_verify|Eu quero convidar os vassalos do reino para uma festa em {s4}.
dlga_member_direct_campaign_choice:member_pretalk|Deixa para lá.
dlga_member_give_order_invite_feast_verify:member_give_order_invite_feast_verify_2|Você quer convidar os vassalos do reino para uma festa?
dlga_member_give_order_invite_feast_verify_2:member_give_order_invite_feast|Sim. Está na hora de fortalecer os laços e unir as pessoas.
dlga_member_give_order_invite_feast_verify_2:member_pretalk|Pensando bem, agora não seria uma boa hora.
dlga_member_give_order_invite_feast:member_pretalk|Certo então. Eu enviarei mensageiros informando aos lordes sobre sua festa em {s4}.
dlga_member_direct_campaign_call_to_arms_verify:member_give_order_call_to_arms_verify_2|Quer chamar todos os lordes para uma nova campanha?
dlga_member_give_order_call_to_arms_verify_2:member_give_order_call_to_arms|Sim. Devemos reunir todas nossas forças antes de marcharmos contra o inimigo.
dlga_member_give_order_call_to_arms_verify_2:member_pretalk|Pensando melhor, não será necessário chamar a todos.
dlga_member_give_order_call_to_arms:member_pretalk|Certo então. Vou enviar mensageiros e dizer a todos para virem aqui.
dlga_member_give_order_disband_army_verify:member_give_order_disband_army_2|Quer terminar a campanha atual e liberar os lordes do serviço?
dlga_member_give_order_disband_army_2:member_give_order_disband_army|Sim. Não precisamos mais de todas nossas forças aqui.
dlga_member_give_order_disband_army_2:member_pretalk|Pensando bem, será melhor se ficarmos juntos agora.
dlga_member_give_order_disband_army:member_pretalk|Tudo bem. Eu direi a todos que estamos liberados do dever.
dlga_mayor_wealth_comparison_1:mayor_wealth_comparison_2|Em geral, a cidade mais rica de Calradia é {s4}. Aqui em {s5}, somos mais pobres que {reg4} cidades, e mais ricos que {reg5}.
dlga_mayor_wealth_comparison_2:mayor_wealth_comparison_3|Em termos de indústria local, a cidade mais produtiva de Calradia é {s4}. Aqui em {s5}, nós produzimos menos que {reg4} cidades, e produzimos mais que {reg5} cidades. A produção é afetada, é claro, pela oferta de matéria bruta, bem como a prosperidade geral da cidade.
dlga_mayor_wealth_comparison_3:mayor_wealth_comparison_4|Em termos de rendimento das vilas ao seu redor, a cidade de {s4} é a mais rica de Calradia. Aqui em {s5}, as vilas produzem menos do que as vilas de {reg4} cidades, e produzem mas que as vilas de {reg5} outras cidades. A riqueza das terras ao redor das cidades é muito dependente, é claro, das guerras. Saques e pilhagens, mudanças de territórios, podem também causar um grande impacto.
dlga_mayor_wealth_comparison_4:mayor_wealth_comparison_5|Em termos de comércio, a cidade de {s4} é aquela que acreditasse ter a maior visita de caravanas nos meses passados. Aqui em {s5} fomos menos visitados do que em {reg4} cidades, e mais visitaods do que em {reg5}.
